Cell name,Radius (km)
BE100,6
BE211,16
BE212,11
BE213,18
BE221,15
BE222,15
BE223,13
BE231,11
BE232,9
BE233,9
BE234,15
BE235,10
BE236,11
BE241,15
BE242,17
BE251,13
BE252,10
BE253,12
BE254,10
BE255,9
BE256,8
BE257,9
BE258,8
BE310,17
BE321,11
BE322,12
BE323,12
BE324,5
BE325,11
BE326,15
BE327,12
BE331,13
BE332,14
BE334,10
BE335,17
BE341,9
BE342,16
BE343,15
BE344,18
BE345,14
BE351,20
BE352,17
BE353,15
